id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts15377,America's Funniest Home Videos,SHOW,1989,TV-PG,49,"['family', 'reality', 'comedy']",['US'],32,tt0098740,6.2,5356,18.117,7
tm21021,Adventures in Babysitting,MOVIE,1987,PG-13,102,"['comedy', 'crime', 'romance']",['US'],,tt0092513,6.9,43294,9.276,6.8
tm131031,Return to Oz,MOVIE,1985,PG,109,"['fantasy', 'family', 'horror']","['GB', 'US']",,tt0089908,6.7,26986,9.982,6.6
tm155184,Home Alone,MOVIE,1990,PG,103,"['comedy', 'family']",['US'],,tt0099785,7.7,552151,2.128,7.4
tm142764,"Honey, I Shrunk the Kids",MOVIE,1989,PG,93,"['scifi', 'family', 'comedy']",['US'],,tt0097523,6.4,152394,18.878,6.3
tm173648,Splash,MOVIE,1984,PG,111,"['fantasy', 'comedy', 'romance']",['US'],,tt0088161,6.3,76050,13.443,6.3
tm116020,Flight of the Navigator,MOVIE,1986,PG,90,"['scifi', 'family', 'comedy']",['US'],,tt0091059,6.9,47676,10.713,6.9
tm46793,Tron,MOVIE,1982,PG,96,"['scifi', 'action']",['US'],,tt0084827,6.7,119780,17.422,6.7
tm19084,3 Men and a Baby,MOVIE,1987,PG,102,"['comedy', 'drama', 'family']",['US'],,tt0094137,6.1,52873,10.397,6.2
tm127019,The Black Cauldron,MOVIE,1985,PG,80,"['animation', 'horror', 'action', 'family', 'fantasy']",['US'],,tt0088814,6.3,35592,18.475,6.5
ts146,DuckTales,SHOW,1987,TV-Y7,21,"['scifi', 'animation', 'fantasy', 'comedy', 'family', 'action']",['US'],4,tt0092345,8.1,31709,33.611,7.6
tm3,Return of the Jedi,MOVIE,1983,PG,135,"['action', 'scifi', 'fantasy']",['US'],,tt0086190,8.3,1019886,26.537,7.9
tm131193,Turner & Hooch,MOVIE,1989,PG,97,"['comedy', 'crime', 'drama', 'thriller']",['US'],,tt0098536,6.2,70131,12.228,6.4
ts11857,Chip 'n' Dale Rescue Rangers,SHOW,1989,TV-G,23,"['fantasy', 'comedy', 'action', 'scifi', 'animation', 'crime', 'family']",['US'],3,tt0096557,7.5,18971,34.201,7.6
